domain,aspect,clean_sentence,opinion_word,sentiment,method
norton,support,managed manually add program file contacted symantec support,symantec,neutral,rule-based
norton,support,managed manually add program file contacted symantec support,symantec,neutral,rule-based
Nokia 6600,phone,market new business capable phone dont want deal stylus equipped pda like device p900 6600 probably suit fine,capable,positive,rule-based
Hitachi router,router,exclusive use double router table building,double,neutral,rule-based
Hitachi router,router,exclusive use double router table building,double,neutral,rule-based
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based
ipod,ipod,personal advice youre saving lot money personal experience docking station really sort ripoff based sleek design ipod easy simply lay without damaging anything,sleek,positive,rule-based
ipod,battery,see great little short film go ipodsdirtysecretcom basically disposable device idea battery goes buy latest model ipod,disposable,neutral,rule-based
ipod,battery,year battery dead need replace new one,dead,negative,rule-based
Diaper Champ,diaper,flip handle diaper gone,flip,neutral,rule-based
Diaper Champ,champ,one child champ may last child diapers,last,neutral,rule-based
Linksys Router,works,standard modem works 56k tops,standard,neutral,rule-based
Linksys Router,support,used linksys technical support several times,technical,neutral,rule-based
Linksys Router,router,upgraded network wireless router,wireless,neutral,rule-based
Canon S100,size,people reviews complain small size doesnt compare larger cameras,small,neutral,rule-based
Canon S100,size,people reviews complain small size doesnt compare larger cameras,small,neutral,rule-based
Canon S100,camera,little skeptical people said camera small,small,neutral,rule-based
Canon S100,camera,little skeptical people said camera small,small,neutral,rule-based
MicroMP3,features,list nice features little longer also contains nothing unreasonable backlit screen removable battery fm radio feature id3 tag line support lots storage,nice,positive,rule-based
MicroMP3,battery,list nice features little longer also contains nothing unreasonable backlit screen removable battery fm radio feature id3 tag line support lots storage,removable,neutral,rule-based
MicroMP3,features,list nice features little longer also contains nothing unreasonable backlit screen removable battery fm radio feature id3 tag line support lots storage,nice,positive,rule-based
MicroMP3,player,must say tons research chosen right mp3 player,right,positive,rule-based
MicroMP3,player,much research decided zen micro best mp3 player,best,positive,rule-based
