aspect,negative,neutral,positive,total_mentions,positive_ratio,neutral_ratio,negative_ratio
0,1,0,1,2,0.5,0.0,0.5
1800,0,1,0,1,0.0,1.0,0.0
2004,1,0,0,1,0.0,0.0,1.0
2004 edition,1,0,0,1,0.0,0.0,1.0
2004 version,0,0,1,1,1.0,0.0,0.0
3650,0,1,0,1,0.0,1.0,0.0
3d,1,0,0,1,0.0,0.0,1.0
4mp,0,0,2,2,1.0,0.0,0.0
4mp camera,0,0,1,1,1.0,0.0,0.0
4mp resolution,0,0,1,1,1.0,0.0,0.0
5day forecaster,0,0,1,1,1.0,0.0,0.0
640x480 mode,0,0,1,1,1.0,0.0,0.0
6600,3,8,3,14,0.21428571428571427,0.5714285714285714,0.21428571428571427
8mb,0,0,1,1,1.0,0.0,0.0
8mb card,0,0,1,1,1.0,0.0,0.0
access,0,0,3,3,1.0,0.0,0.0
access point,0,1,0,1,0.0,1.0,0.0
accessible,0,0,1,1,1.0,0.0,0.0
accessing file,0,0,1,1,1.0,0.0,0.0
accessories,0,9,1,10,0.1,0.9,0.0
accessory,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
acer,0,3,0,3,0.0,1.0,0.0
acer monitor,0,0,1,1,1.0,0.0,0.0
acer netbook aspire one,0,0,1,1,1.0,0.0,0.0
acer product,0,1,0,1,0.0,1.0,0.0
acer products,1,0,0,1,0.0,0.0,1.0
acer tech support,0,1,0,1,0.0,1.0,0.0
acer widescreen,0,0,1,1,1.0,0.0,0.0
activation process,0,0,1,1,1.0,0.0,0.0
ad1220,0,0,1,1,1.0,0.0,0.0
ad1600,0,0,1,1,1.0,0.0,0.0
adapter,1,1,0,2,0.0,0.5,0.5
additional accesories,0,0,1,1,1.0,0.0,0.0
adjust,0,1,1,2,0.5,0.5,0.0
adjustment,6,4,3,13,0.23076923076923078,0.3076923076923077,0.46153846153846156
adjustments,1,1,0,2,0.0,0.5,0.5
administration,0,0,1,1,1.0,0.0,0.0
adustment knob,0,0,1,1,1.0,0.0,0.0
advanced controls,0,1,0,1,0.0,1.0,0.0
aff,0,0,1,1,1.0,0.0,0.0
affordability,0,1,0,1,0.0,1.0,0.0
affordable,1,1,0,2,0.0,0.5,0.5
alerts,2,0,0,2,0.0,0.0,1.0
alternative,0,0,1,1,1.0,0.0,0.0
amazon,3,0,1,4,0.25,0.0,0.75
amplifier,0,0,1,1,1.0,0.0,0.0
anteanna,0,0,1,1,1.0,0.0,0.0
antenna,1,0,0,1,0.0,0.0,1.0
antispam,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
antivirus,3,2,0,5,0.0,0.4,0.6
antivirus software,1,0,0,1,0.0,0.0,1.0
apex,4,2,4,10,0.4,0.2,0.4
appeal,1,0,0,1,0.0,0.0,1.0
appearance,0,1,0,1,0.0,1.0,0.0
apple,1,0,5,6,0.8333333333333334,0.0,0.16666666666666666
application,1,2,2,5,0.4,0.4,0.2
applications,1,2,1,4,0.25,0.5,0.25
arm band,1,0,0,1,0.0,0.0,1.0
assemble,1,0,0,1,0.0,0.0,1.0
att,1,0,0,1,0.0,0.0,1.0
att customer service,0,1,0,1,0.0,1.0,0.0
audio bar,0,0,1,1,1.0,0.0,0.0
audio cube,1,0,0,1,0.0,0.0,1.0
audio formats,0,0,1,1,1.0,0.0,0.0
audio output,0,0,1,1,1.0,0.0,0.0
audio quality,0,0,5,5,1.0,0.0,0.0
audio volume,0,0,1,1,1.0,0.0,0.0
auto color balance,0,0,1,1,1.0,0.0,0.0
auto fit,0,1,0,1,0.0,1.0,0.0
auto load,0,1,0,1,0.0,1.0,0.0
auto mode,3,2,6,11,0.5454545454545454,0.18181818181818182,0.2727272727272727
auto setting,1,1,2,4,0.5,0.25,0.25
autofocus,1,3,1,5,0.2,0.6,0.2
autofocus assist light,0,0,1,1,1.0,0.0,0.0
automatic modes,0,0,1,1,1.0,0.0,0.0
automatic settings,1,0,0,1,0.0,0.0,1.0
automode,0,1,0,1,0.0,1.0,0.0
av 2004,0,0,1,1,1.0,0.0,0.0
avr 525,0,1,0,1,0.0,1.0,0.0
back,1,0,1,2,0.5,0.0,0.5
back cover,0,0,1,1,1.0,0.0,0.0
background,1,0,0,1,0.0,0.0,1.0
background light,0,0,1,1,1.0,0.0,0.0
backlight,2,2,1,5,0.2,0.4,0.4
backlighting,0,0,1,1,1.0,0.0,0.0
