domain_x,aspect,sentence,opinion_word,rule_sentiment,method_x,domain_y,bert_sentiment,confidence,method_y,agreement
norton,support,managed manually add program file contacted symantec support,symantec,neutral,rule-based,norton,neutral,0.469,bert-based,True
norton,support,managed manually add program file contacted symantec support,symantec,neutral,rule-based,norton,neutral,0.469,bert-based,True
norton,support,managed manually add program file contacted symantec support,symantec,neutral,rule-based,norton,neutral,0.469,bert-based,True
norton,support,managed manually add program file contacted symantec support,symantec,neutral,rule-based,norton,neutral,0.469,bert-based,True
Nokia 6600,phone,market new business capable phone dont want deal stylus equipped pda like device p900 6600 probably suit fine,capable,positive,rule-based,Nokia 6600,neutral,0.472,bert-based,False
Hitachi router,router,exclusive use double router table building,double,neutral,rule-based,Hitachi router,positive,0.448,bert-based,False
Hitachi router,router,exclusive use double router table building,double,neutral,rule-based,Hitachi router,positive,0.448,bert-based,False
Hitachi router,router,exclusive use double router table building,double,neutral,rule-based,Hitachi router,positive,0.448,bert-based,False
Hitachi router,router,exclusive use double router table building,double,neutral,rule-based,Hitachi router,positive,0.448,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
Hitachi router,router,reciently purchased 1 12hp plunge router different name brand couldnt hack,12hp,neutral,rule-based,Hitachi router,negative,0.41,bert-based,False
