domain,aspect,clean_sentence,predicted_sentiment,confidence,method
norton,norton products,install type software installs works properly,positive,0.48,bert-based
norton,mcafee antivirus 8,install type software installs works properly,positive,0.581,bert-based
norton,norton,install type software installs works properly,neutral,0.494,bert-based
norton,norton,install type software installs works properly,neutral,0.494,bert-based
norton,installation,bought nis 2004 recently try,neutral,0.524,bert-based
norton,nis,thankful roxio goback use 3 4 times,positive,0.972,bert-based
norton,manual shutdown,thankful roxio goback use 3 4 times,positive,0.931,bert-based
norton,product,thankful roxio goback use 3 4 times,positive,0.967,bert-based
norton,uninstall,thankful roxio goback use 3 4 times,positive,0.953,bert-based
norton,norton,thankful roxio goback use 3 4 times,positive,0.961,bert-based
norton,nis 2003,thankful roxio goback use 3 4 times,positive,0.933,bert-based
norton,norton,thankful roxio goback use 3 4 times,positive,0.961,bert-based
norton,installed,thankful roxio goback use 3 4 times,positive,0.96,bert-based
norton,norton,thankful roxio goback use 3 4 times,positive,0.961,bert-based
norton,product,thankful roxio goback use 3 4 times,positive,0.967,bert-based
norton,nis2004,ive using norton antivirus many incarnations 5 years,neutral,0.409,bert-based
norton,installation,also reviewed norton system works 2004professional,positive,0.504,bert-based
norton,product,also reviewed norton system works 2004professional,positive,0.479,bert-based
norton,systemworks,something happened release norton system works 2004 internet security 2004,neutral,0.41,bert-based
norton,internet security,something happened release norton system works 2004 internet security 2004,positive,0.374,bert-based
norton,installation,brought market beyond,positive,0.566,bert-based
norton,install,brought market beyond,positive,0.555,bert-based
norton,liveupdate,say buggy would worlds profound understatement,negative,0.834,bert-based
norton,updates,say buggy would worlds profound understatement,negative,0.921,bert-based
norton,liveupdate,say buggy would worlds profound understatement,negative,0.834,bert-based
norton,components,say buggy would worlds profound understatement,negative,0.909,bert-based
norton,functions,without updated virus definiations pc also serious risk,negative,0.638,bert-based
norton,faster,without updated virus definiations pc also serious risk,negative,0.701,bert-based
norton,menu,without updated virus definiations pc also serious risk,negative,0.796,bert-based
norton,liveupdate,without updated virus definiations pc also serious risk,negative,0.596,bert-based
norton,installs,without updated virus definiations pc also serious risk,negative,0.646,bert-based
norton,removal program,without updated virus definiations pc also serious risk,negative,0.542,bert-based
norton,fragments,without updated virus definiations pc also serious risk,negative,0.745,bert-based
norton,remove,without updated virus definiations pc also serious risk,negative,0.643,bert-based
norton,install,without updated virus definiations pc also serious risk,negative,0.697,bert-based
norton,remove,without updated virus definiations pc also serious risk,negative,0.643,bert-based
norton,products,even however solve problems,neutral,0.577,bert-based
norton,functionality,even however solve problems,neutral,0.602,bert-based
norton,reinstall,even however solve problems,neutral,0.507,bert-based
norton,version 2004,even however solve problems,neutral,0.591,bert-based
norton,symantect products,even however solve problems,neutral,0.627,bert-based
norton,product,longer,neutral,0.395,bert-based
norton,2004 edition,antagonising,negative,0.944,bert-based
norton,program,antagonising,negative,0.962,bert-based
norton,price,antagonising,negative,0.955,bert-based
norton,support,antagonising,negative,0.967,bert-based
norton,priority id,antagonising,negative,0.966,bert-based
norton,support,antagonising,negative,0.967,bert-based
norton,norton,antagonising,negative,0.972,bert-based
norton,memory usage,want integrated antivirus firewall id suggest,positive,0.562,bert-based
norton,memory usage,usually takes 510 mbs system memory,neutral,0.482,bert-based
norton,update,usually takes 510 mbs system memory,neutral,0.508,bert-based
norton,update,usually takes 510 mbs system memory,neutral,0.508,bert-based
norton,visual backtracking,usually takes 510 mbs system memory,neutral,0.453,bert-based
norton,product,caused headaches could imagine,negative,0.894,bert-based
norton,2004,caused headaches could imagine,negative,0.843,bert-based
norton,support,apparently cant even fix bugs overrun site,negative,0.665,bert-based
norton,norton internet security,apparently cant even fix bugs overrun site,negative,0.796,bert-based
norton,product,okay say nicely,neutral,0.641,bert-based
norton,performance,okay say nicely,neutral,0.588,bert-based
norton,product,okay say nicely,neutral,0.641,bert-based
norton,internet security,norton name market think name,positive,0.591,bert-based
norton,antivirus,norton name market think name,neutral,0.433,bert-based
norton,internet security,former hogs memory takes ages computer start,negative,0.564,bert-based
norton,antivirus software,former hogs memory takes ages computer start,negative,0.639,bert-based
norton,parental controls,former hogs memory takes ages computer start,negative,0.633,bert-based
norton,firewall,norton internet security 3 yrs graded 2004 versionin august 2004,positive,0.415,bert-based
norton,capacity,norton internet security 3 yrs graded 2004 versionin august 2004,neutral,0.351,bert-based
norton,support,norton internet security 3 yrs graded 2004 versionin august 2004,neutral,0.37,bert-based
norton,product,going buy pccillium asap,positive,0.58,bert-based
norton,upgrade,going buy pccillium asap,positive,0.63,bert-based
norton,2004 version,going buy pccillium asap,positive,0.673,bert-based
norton,activation process,going buy pccillium asap,positive,0.694,bert-based
norton,product,going buy pccillium asap,positive,0.58,bert-based
norton,product,going buy pccillium asap,positive,0.58,bert-based
norton,norton program,came preloaded new 28mz pentium 4 256ram computer,neutral,0.467,bert-based
norton,norton,came preloaded new 28mz pentium 4 256ram computer,neutral,0.482,bert-based
norton,memory usage,came preloaded new 28mz pentium 4 256ram computer,neutral,0.372,bert-based
norton,support,agree reviewer doesnt even deserve 1 star,negative,0.698,bert-based
norton,support,wasnt computer norton internet security 2004 culprit,negative,0.513,bert-based
norton,corporate edition,unfortunately cant buy corporate edition counter,negative,0.649,bert-based
norton,home version,unfortunately cant buy corporate edition counter,negative,0.656,bert-based
norton,av 2004,hmmmm good luck,positive,0.81,bert-based
norton,corporate,wrong see update,negative,0.659,bert-based
norton,professional version,wrong see update,negative,0.795,bert-based
norton,home version,wrong see update,negative,0.794,bert-based
norton,work,expected level quality ease use internet security program,positive,0.79,bert-based
norton,program scan,said done couldnt even use microsoft outlook,negative,0.681,bert-based
norton,support,managed manually add program file contacted symantec support,neutral,0.469,bert-based
norton,symantec,managed manually add program file contacted symantec support,neutral,0.477,bert-based
norton,update,managed manually add program file contacted symantec support,neutral,0.57,bert-based
norton,support,managed manually add program file contacted symantec support,neutral,0.469,bert-based
norton,products,maybe time explore mcafee products,neutral,0.53,bert-based
norton,nis 2004,wish id done research first,negative,0.657,bert-based
norton,options,wish id done research first,negative,0.674,bert-based
norton,intrusion,wish id done research first,negative,0.901,bert-based
norton,intrusion,wish id done research first,negative,0.901,bert-based
norton,popup blocker,wish id done research first,negative,0.693,bert-based
norton,antispam,wish id done research first,negative,0.653,bert-based
norton,product,wish id done research first,negative,0.628,bert-based
norton,instruction,wish id done research first,negative,0.839,bert-based
norton,nstalling,much recourse consumer cases,neutral,0.405,bert-based
norton,components,much recourse consumer cases,negative,0.431,bert-based
norton,working,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,neutral,0.392,bert-based
norton,installation,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,negative,0.643,bert-based
norton,installation,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,negative,0.643,bert-based
norton,installation,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,negative,0.643,bert-based
norton,spam,avoid like plague,negative,0.926,bert-based
norton,install,well must one fortunate ones,positive,0.525,bert-based
norton,work,well must one fortunate ones,positive,0.618,bert-based
norton,nis 04,norton internet security 2003 worked greatone features liked user interface well adpopup blocking feature along wthe logs internet usage,positive,0.937,bert-based
norton,booting,sudden everything reviewers writing nis 2004 happening computer,negative,0.697,bert-based
norton,blocking,sudden everything reviewers writing nis 2004 happening computer,negative,0.722,bert-based
norton,blocking,sudden everything reviewers writing nis 2004 happening computer,negative,0.722,bert-based
norton,tech line,extensive researching symantec site broke called symantec,negative,0.462,bert-based
norton,tech,pay 2995 go,neutral,0.419,bert-based
norton,tech,sent link website follow instructions ridding registry symantec products could get clean reinstall,neutral,0.467,bert-based
norton,support,said call back still didnt work complete uninstall,negative,0.584,bert-based
norton,unstalling,nis package several norton products,neutral,0.427,bert-based
norton,components,get nis sure want installed running machine,negative,0.48,bert-based
norton,norton antispam,get nis sure want installed running machine,negative,0.482,bert-based
norton,product,try shut told go ahead turn com automation,neutral,0.562,bert-based
norton,popups,try shut told go ahead turn com automation,neutral,0.613,bert-based
norton,norton,despite fact im even using antispam,neutral,0.484,bert-based
norton,charge,despite fact im even using antispam,negative,0.581,bert-based
norton,charge,despite fact im even using antispam,negative,0.581,bert-based
norton,norton,despite fact im even using antispam,neutral,0.484,bert-based
norton,nis,bought norton internet security years ago first came,neutral,0.42,bert-based
norton,installing,bought norton internet security years ago first came,neutral,0.517,bert-based
norton,install,bought norton internet security years ago first came,neutral,0.475,bert-based
norton,spam killer,checks every 5 minutes virus spam definition updates,neutral,0.372,bert-based
norton,wizard,checks every 5 minutes virus spam definition updates,negative,0.438,bert-based
norton,download,checks every 5 minutes virus spam definition updates,negative,0.604,bert-based
norton,help,lost personal info,negative,0.567,bert-based
norton,service,lost personal info,negative,0.551,bert-based
norton,support,lost personal info,negative,0.499,bert-based
norton,price,lost personal info,negative,0.56,bert-based
norton,support,lost personal info,negative,0.499,bert-based
norton,refund,lost personal info,negative,0.542,bert-based
norton,product,lost personal info,negative,0.553,bert-based
norton,support,lost personal info,negative,0.499,bert-based
norton,support,lost personal info,negative,0.499,bert-based
norton,norton,lost personal info,negative,0.523,bert-based
norton,norton,lost personal info,negative,0.523,bert-based
norton,firewall,understand complaints symantecs norton systemworks software suite totally justified cant said norton internet security,negative,0.445,bert-based
norton,antivirus,understand complaints symantecs norton systemworks software suite totally justified cant said norton internet security,negative,0.55,bert-based
norton,antispam,understand complaints symantecs norton systemworks software suite totally justified cant said norton internet security,negative,0.572,bert-based
norton,parental control,understand complaints symantecs norton systemworks software suite totally justified cant said norton internet security,neutral,0.447,bert-based
norton,version 2004,set barely even notice even,neutral,0.727,bert-based
norton,installing,set barely even notice even,neutral,0.817,bert-based
norton,product,seems like symantec lousy job version,negative,0.942,bert-based
norton,install,seems like symantec lousy job version,negative,0.963,bert-based
norton,uninstall,seems like symantec lousy job version,negative,0.88,bert-based
norton,installation,got stuck didsearch folder called symantec delete install programassuming know,negative,0.639,bert-based
norton,support,got stuck didsearch folder called symantec delete install programassuming know,negative,0.489,bert-based
norton,zone alarm,got stuck didsearch folder called symantec delete install programassuming know,negative,0.618,bert-based
norton,sygate,got stuck didsearch folder called symantec delete install programassuming know,negative,0.501,bert-based
norton,symantec,next year purchase 2005 firewall version buying zone alarm sygate one,neutral,0.471,bert-based
norton,help,computer configuration probably screwed point,negative,0.815,bert-based
norton,firewall,computer configuration probably screwed point,negative,0.915,bert-based
norton,symantec,type half time xp pro 24 gig pc lags behind input sometime 10 characters,negative,0.519,bert-based
norton,product,type half time xp pro 24 gig pc lags behind input sometime 10 characters,negative,0.597,bert-based
norton,product,beware,negative,0.939,bert-based
norton,antivirus,beware,negative,0.911,bert-based
norton,antivirus,beware,negative,0.911,bert-based
norton,product,xp 256mb ram 40gb memory,neutral,0.484,bert-based
norton,product,xp 256mb ram 40gb memory,neutral,0.484,bert-based
norton,product,ive last 3 versions nis,neutral,0.778,bert-based
norton,symantec,ive last 3 versions nis,neutral,0.688,bert-based
norton,firewall,ive last 3 versions nis,neutral,0.693,bert-based
norton,security suite,ive last 3 versions nis,neutral,0.669,bert-based
norton,boot,ive last 3 versions nis,neutral,0.668,bert-based
norton,antivirus,ive last 3 versions nis,neutral,0.685,bert-based
norton,internet security,ive last 3 versions nis,neutral,0.684,bert-based
norton,performance,ive last 3 versions nis,neutral,0.786,bert-based
norton,nis 2004,ive last 3 versions nis,neutral,0.444,bert-based
norton,upgrade,ive seen many reviews praising 2003 cursing 2004,negative,0.588,bert-based
norton,performance,ive seen many reviews praising 2003 cursing 2004,positive,0.667,bert-based
norton,upgrade,ive seen many reviews praising 2003 cursing 2004,negative,0.588,bert-based
norton,performance,ive seen many reviews praising 2003 cursing 2004,positive,0.667,bert-based
norton,features,ive seen many reviews praising 2003 cursing 2004,negative,0.383,bert-based
norton,program,bought product reading editors choice article pc magazine great experience amazon usual,positive,0.916,bert-based
norton,installation,previous experience multiple symantecnorton products good,positive,0.88,bert-based
norton,setup,previous experience multiple symantecnorton products good,positive,0.893,bert-based
norton,operation interfaces,previous experience multiple symantecnorton products good,positive,0.869,bert-based
norton,email spam,previous experience multiple symantecnorton products good,positive,0.541,bert-based
norton,symantec,previous experience multiple symantecnorton products good,positive,0.898,bert-based
norton,performance,previous experience multiple symantecnorton products good,positive,0.952,bert-based
norton,performance,previous experience multiple symantecnorton products good,positive,0.952,bert-based
norton,norton site,previous experience multiple symantecnorton products good,positive,0.898,bert-based
norton,product,purchased even though saw disparaging reviews amazon site trusting pc magazine get right,negative,0.939,bert-based
norton,uninstall,purchased even though saw disparaging reviews amazon site trusting pc magazine get right,negative,0.715,bert-based
norton,install,purchased even though saw disparaging reviews amazon site trusting pc magazine get right,negative,0.757,bert-based
norton,install,use rnisexe since winfax pro system touch windows registry reason,neutral,0.572,bert-based
norton,antispam,use rnisexe since winfax pro system touch windows registry reason,neutral,0.474,bert-based
norton,program,aint computer geek wrestle best,neutral,0.433,bert-based
norton,product,gave trying figure get email sent listen streaming programs,neutral,0.551,bert-based
norton,processor,using 2001 dell laptop worked fine upgraded junk,negative,0.492,bert-based
norton,install,decided give one last chance formatted hard drive reinstalled windows xp also required day night downloadinstall sp2 dialup put nis2004 back onto computer,neutral,0.511,bert-based
norton,computer associates ez,reformatted third time downloading sp2 took time new xp kind enough even suggest antivirus programs try also listed norton mcaffee,positive,0.688,bert-based
norton,norton,cant recommend programs enough,positive,0.552,bert-based
norton,installation,even though 6 months left mcafee subscription decided move buy norton internet security 2004 nis,negative,0.472,bert-based
norton,performance,remove remnants mcafee installing confirmed windows xp firewall,neutral,0.495,bert-based
norton,size,remove remnants mcafee installing confirmed windows xp firewall,neutral,0.402,bert-based
norton,scanning,remove remnants mcafee installing confirmed windows xp firewall,neutral,0.467,bert-based
norton,scan,remove remnants mcafee installing confirmed windows xp firewall,neutral,0.487,bert-based
norton,firewall,im sure would compromised virus,negative,0.825,bert-based
norton,performance,im sure would compromised virus,negative,0.791,bert-based
norton,home network,im sure would compromised virus,negative,0.87,bert-based
norton,network,im sure would compromised virus,negative,0.838,bert-based
norton,alerts,lost morning software,negative,0.71,bert-based
norton,alerts,lost morning software,negative,0.71,bert-based
norton,uninstall,lost morning software,negative,0.777,bert-based
norton,uninstall,lost morning software,negative,0.777,bert-based
norton,symantec customer service,home computer,neutral,0.441,bert-based
