domain,sentence,feature,sentiment,strength,clean_sentence,clean_feature,aspect,pos_tags,noun_phrases
norton,,software,negative,3,,software,software,,[]
norton,Why is it that I can install any other type of software and it installs and works properly?,Norton products,negative,3,install type software installs works properly,norton products,norton products,install_VERB type_NOUN software_NOUN installs_NOUN works_VERB properly_ADV,['install type software installs']
norton,Why is it that I can install any other type of software and it installs and works properly?,McAfee Anti-Virus 8,positive,2,install type software installs works properly,mcafee antivirus 8,mcafee antivirus 8,install_VERB type_NOUN software_NOUN installs_NOUN works_VERB properly_ADV,['install type software installs']
norton,Why is it that I can install any other type of software and it installs and works properly?,Norton,negative,2,install type software installs works properly,norton,norton,install_VERB type_NOUN software_NOUN installs_NOUN works_VERB properly_ADV,['install type software installs']
norton,Why is it that I can install any other type of software and it installs and works properly?,Norton,negative,2,install type software installs works properly,norton,norton,install_VERB type_NOUN software_NOUN installs_NOUN works_VERB properly_ADV,['install type software installs']
norton,I bought NIS 2004 recently to try it out.,Installation,negative,2,bought nis 2004 recently try,installation,installation,bought_VERB nis_PROPN 2004_NUM recently_ADV try_VERB,['nis']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",NIS,negative,2,thankful roxio goback use 3 4 times,nis,nis,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",Manual shutdown,negative,2,thankful roxio goback use 3 4 times,manual shutdown,manual shutdown,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",product,negative,3,thankful roxio goback use 3 4 times,product,product,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",uninstall,positive,2,thankful roxio goback use 3 4 times,uninstall,uninstall,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",Norton,negative,3,thankful roxio goback use 3 4 times,norton,norton,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",NIS 2003,positive,2,thankful roxio goback use 3 4 times,nis 2003,nis 2003,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",Norton,negative,3,thankful roxio goback use 3 4 times,norton,norton,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",installed,negative,2,thankful roxio goback use 3 4 times,installed,installed,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",Norton,negative,3,thankful roxio goback use 3 4 times,norton,norton,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",product,negative,3,thankful roxio goback use 3 4 times,product,product,thankful_PROPN roxio_NOUN goback_NOUN use_NOUN 3_NUM 4_NUM times_NOUN,['thankful roxio goback use']
norton,Here's why:,program,negative,3,heres,program,program,heres_NOUN,['heres']
norton,Here's why:,updates,negative,2,heres,updates,updates,heres_NOUN,['heres']
norton,Here's why:,Symantec softwares,positive,2,heres,symantec softwares,symantec softwares,heres_NOUN,['heres']
norton,Here's why:,scandisk,negative,1,heres,scandisk,scandisk,heres_NOUN,['heres']
norton,Here's why:,product,negative,2,heres,product,product,heres_NOUN,['heres']
norton,Here's why:,suite,negative,2,heres,suite,suite,heres_NOUN,['heres']
norton,Here's why:,speed,positive,1,heres,speed,performance,heres_NOUN,['heres']
norton,Here's why:,speed,positive,1,heres,speed,performance,heres_NOUN,['heres']
